VISITOR_ID,FIRST_REVENUE_SESSION_TIMESTAMP,SESSION_COUNT_TO_REVENUE_SESSION,SESSION_COUNT_GROUP
4795764855587336001,2016-12-15 00:56:52.000,2,MULTI_SESSION
2637714150350706913,2017-07-19 05:21:18.000,1,SINGLE_SESSION
8000036903991844307,2016-11-22 21:57:28.000,1,SINGLE_SESSION
5914563242509482274,2017-04-12 18:57:14.000,1,SINGLE_SESSION
6078308498520521159,2017-03-15 05:36:18.000,1,SINGLE_SESSION
7054841030151887299,2016-08-29 02:27:58.000,2,MULTI_SESSION
4244168838002740731,2016-10-18 20:17:37.000,1,SINGLE_SESSION
9089132392240687728,2016-10-13 01:06:58.000,1,SINGLE_SESSION
2702626484466818969,2017-01-06 15:01:42.000,1,SINGLE_SESSION
1644471510299169992,2017-01-13 01:57:29.000,1,SINGLE_SESSION
5563123334052007578,2016-12-07 14:47:15.000,1,SINGLE_SESSION
0024932550342595467,2017-07-22 17:26:29.000,2,MULTI_SESSION
6817220325980493863,2016-08-19 17:22:08.000,1,SINGLE_SESSION
0840608732692239910,2017-01-13 15:20:17.000,2,MULTI_SESSION
3671059772883764833,2017-02-28 00:45:08.000,1,SINGLE_SESSION
5840491569007518848,2017-05-24 13:34:40.000,1,SINGLE_SESSION
9138559110728352408,2016-12-19 01:53:39.000,1,SINGLE_SESSION
3635499460732949691,2017-06-29 18:17:06.000,1,SINGLE_SESSION
0881711197149312621,2016-12-18 01:24:21.000,2,MULTI_SESSION
7838650270550176403,2016-12-31 01:44:56.000,2,MULTI_SESSION
9130367396705369382,2017-05-11 22:54:31.000,1,SINGLE_SESSION
5025697082538917996,2016-12-13 17:58:38.000,1,SINGLE_SESSION
1862546724568841127,2017-05-01 19:52:45.000,1,SINGLE_SESSION
9310312423239347353,2017-03-04 17:05:15.000,1,SINGLE_SESSION
1081973235804015948,2016-10-12 19:10:23.000,1,SINGLE_SESSION
3573113591289892546,2017-02-18 20:10:40.000,1,SINGLE_SESSION
8927403881471391262,2017-06-06 21:22:43.000,1,SINGLE_SESSION
8652257213131315139,2017-05-13 15:12:09.000,1,SINGLE_SESSION
2176646646506183832,2017-03-05 04:20:14.000,1,SINGLE_SESSION
067586620214837441,2017-03-02 19:39:46.000,1,SINGLE_SESSION
9776803566040829876,2016-09-28 13:25:37.000,1,SINGLE_SESSION
9583857723785815226,2016-10-10 02:54:07.000,1,SINGLE_SESSION
3638533281784175478,2016-11-11 05:17:24.000,1,SINGLE_SESSION
8811442991664814256,2016-10-11 20:37:08.000,1,SINGLE_SESSION
0157592049434831040,2017-05-26 15:17:55.000,1,SINGLE_SESSION
9584769989000380816,2017-04-09 02:11:04.000,1,SINGLE_SESSION
3780112882694926970,2016-08-23 03:42:11.000,1,SINGLE_SESSION
15618322761092379,2017-07-31 02:26:43.000,1,SINGLE_SESSION
2914078983041273853,2016-08-07 15:19:39.000,1,SINGLE_SESSION
7517997316226476864,2016-12-06 05:21:25.000,2,MULTI_SESSION
4649260019813877434,2017-03-18 20:56:29.000,1,SINGLE_SESSION
8771657580630576008,2016-12-17 03:09:53.000,1,SINGLE_SESSION
5711731489189820466,2017-06-27 02:15:44.000,1,SINGLE_SESSION
1349807768089700904,2016-08-08 23:41:08.000,1,SINGLE_SESSION
9679444214215496163,2017-02-17 22:06:29.000,1,SINGLE_SESSION
303295591639486135,2016-08-16 18:31:33.000,1,SINGLE_SESSION
6861503307168230520,2016-11-11 23:20:12.000,1,SINGLE_SESSION
9841406679261096518,2017-04-27 00:35:36.000,1,SINGLE_SESSION
0150031486512354806,2016-10-07 15:23:18.000,1,SINGLE_SESSION
2087880022078046202,2017-01-25 21:20:13.000,1,SINGLE_SESSION
3925916036744376109,2016-08-08 18:02:20.000,1,SINGLE_SESSION
5293894557415373112,2017-05-14 15:49:53.000,1,SINGLE_SESSION
7044912465703715804,2016-08-05 18:36:57.000,1,SINGLE_SESSION
411216216330611461,2017-06-30 23:31:47.000,1,SINGLE_SESSION
1247282406356396417,2017-07-26 17:25:14.000,1,SINGLE_SESSION
7082731874084361787,2016-09-19 22:09:30.000,1,SINGLE_SESSION
8417202623298662742,2016-12-30 01:38:42.000,1,SINGLE_SESSION
8049773876871004000,2016-08-06 04:16:15.000,1,SINGLE_SESSION
8076486872734382011,2016-10-02 17:01:37.000,1,SINGLE_SESSION
3232963301544561128,2016-09-09 01:28:48.000,1,SINGLE_SESSION
0195229052670476258,2017-04-18 20:54:29.000,1,SINGLE_SESSION
5133756446972235146,2017-03-29 23:00:05.000,1,SINGLE_SESSION
5579426587709014317,2016-12-05 18:58:33.000,1,SINGLE_SESSION
0403029217967321711,2016-08-30 23:35:11.000,1,SINGLE_SESSION
515770511624914543,2017-05-02 04:36:59.000,1,SINGLE_SESSION
4391405793651473419,2016-12-16 21:52:37.000,1,SINGLE_SESSION
9668596499730980627,2017-06-06 01:31:25.000,1,SINGLE_SESSION
8192111433963330892,2017-02-17 23:56:49.000,1,SINGLE_SESSION
9725725636158347694,2016-10-27 21:01:18.000,1,SINGLE_SESSION
5739401273525680834,2016-10-15 20:44:23.000,1,SINGLE_SESSION
6942066477559245785,2016-10-11 20:18:20.000,1,SINGLE_SESSION
28984301129433960,2016-08-16 18:16:30.000,1,SINGLE_SESSION
